Filename,File Size,Creation Date,Width,Height,DPI_X,DPI_Y,Original Path
trashcats.png,1.51 MB,08-11-25,530,5400,299.9994,299.9994,/Volumes/DeVonDaTa/Archived_Projects/Backup_Data/Backups/trashcats.png
hogPr0n.pong.png,114.76 KB,05-31-25,388,166,143.99259999999998,143.99259999999998,/Volumes/DeVonDaTa/Archived_Projects/Backup_Data/Backups/hogPr0n.pong.png
contact_sheet.jpg,16.61 KB,08-11-25,1024,1024,300,300,/Volumes/DeVonDaTa/Archived_Projects/Backup_Data/Backups/contact_sheet.jpg
gru.jpg,143.39 KB,05-31-25,612,792,72,72,/Volumes/DeVonDaTa/Archived_Projects/Backup_Data/Backups/gru.jpg
source_00.png,5.94 MB,05-31-25,1394,14178,143.99259999999998,143.99259999999998,/Volumes/DeVonDaTa/Archived_Projects/Backup_Data/Backups/Untitled.pzdoc/source_00.png
page_00.jpeg,9.90 KB,05-31-25,50,512,72.0,72.0,/Volumes/DeVonDaTa/Archived_Projects/Backup_Data/Backups/Untitled.pzdoc/thumbnails/page_00.jpeg
zom.png,1.35 MB,06-04-25,2000,2000,96.012,96.012,/Volumes/DeVonDaTa/Archived_Projects/Old_Designs/canva/zom.png
Untitled design.png,2.32 MB,06-04-25,1556,2000,110.99799999999999,110.99799999999999,/Volumes/DeVonDaTa/Archived_Projects/Old_Designs/canva/Untitled design.png
layeres.jpg,244.38 KB,06-04-25,2500,2500,72,72,/Volumes/DeVonDaTa/Archived_Projects/Old_Designs/PhotoShop/AutoMated-Mockups/360-tumbler-vidmock up file/layeres.jpg
note to cf customers CF-PROMO-CODE.jpg,28.14 KB,06-04-25,300,420,72,72,/Volumes/DeVonDaTa/Archived_Projects/Old_Designs/PhotoShop/AutoMated-Mockups/360-tumbler-vidmock up file/note to cf customers CF-PROMO-CODE.jpg
soda can 280 ml mockup.jpg,1.48 MB,06-04-25,6000,3500,300.0,300.0,/Volumes/DeVonDaTa/Archived_Projects/Old_Designs/PhotoShop/AutoMated-Mockups/280 ml can animated mockup/static mockup/soda can 280 ml mockup.jpg
soda can 280 ml mockup.jpg,557.17 KB,06-04-25,3840,2160,72.0,72.0,/Volumes/DeVonDaTa/Archived_Projects/Old_Designs/PhotoShop/AutoMated-Mockups/280 ml can animated mockup/animated mockup/soda can 280 ml mockup.jpg
favicon-16x16.png,711.00 B,06-04-25,16,16,,,/Volumes/DeVonDaTa/Archived_Projects/Completed_Websites/sited/localai.io/favicon-16x16.png
8aaca62a-e864-4011-98ae-dcc708103928_2846109303665689058.png,1.41 MB,06-04-25,1024,1024,,,/Volumes/DeVonDaTa/Archived_Projects/Completed_Websites/sited/localai.io/8aaca62a-e864-4011-98ae-dcc708103928_2846109303665689058.png
1935a69a-ecce-4afc-a099-1ac28cb649b3_11689320521970364129.png,136.75 KB,06-04-25,256,256,,,/Volumes/DeVonDaTa/Archived_Projects/Completed_Websites/sited/localai.io/1935a69a-ecce-4afc-a099-1ac28cb649b3_11689320521970364129.png
cb0a0897-3b58-4350-af66-e6f4387b58d3_2849801875304789385.gif,6.49 MB,06-04-25,1920,1032,,,/Volumes/DeVonDaTa/Archived_Projects/Completed_Websites/sited/localai.io/cb0a0897-3b58-4350-af66-e6f4387b58d3_2849801875304789385.gif
7b16676e-d5b1-4c97-89bd-9fa5065c21ad_7052804749138561911.gif,8.19 MB,06-04-25,1024,579,,,/Volumes/DeVonDaTa/Archived_Projects/Completed_Websites/sited/localai.io/7b16676e-d5b1-4c97-89bd-9fa5065c21ad_7052804749138561911.gif
apple-touch-icon.png,14.52 KB,06-04-25,180,180,,,/Volumes/DeVonDaTa/Archived_Projects/Completed_Websites/sited/localai.io/apple-touch-icon.png
ede67b25-fac4-4833-ae4f-78290e401e60_16032486548195551081.gif,4.08 MB,06-04-25,1980,1064,,,/Volumes/DeVonDaTa/Archived_Projects/Completed_Websites/sited/localai.io/ede67b25-fac4-4833-ae4f-78290e401e60_16032486548195551081.gif
8ca277cf-c208-4562-8929-808b2324b584_72525163993720462.gif,3.47 MB,06-04-25,1024,579,,,/Volumes/DeVonDaTa/Archived_Projects/Completed_Websites/sited/localai.io/8ca277cf-c208-4562-8929-808b2324b584_72525163993720462.gif
b8cadddf-a467-49cf-a1ed-8850de95366d_3114666708454849.png,123.60 KB,06-04-25,1545,738,72.009,72.009,/Volumes/DeVonDaTa/Archived_Projects/Completed_Websites/sited/localai.io/b8cadddf-a467-49cf-a1ed-8850de95366d_3114666708454849.png
5bd15da2-78c1-4625-be90-1e938e6823f1_9810401410328240049.gif,399.44 KB,06-04-25,1918,951,,,/Volumes/DeVonDaTa/Archived_Projects/Completed_Websites/sited/localai.io/5bd15da2-78c1-4625-be90-1e938e6823f1_9810401410328240049.gif
e3f89d15-1d2c-45ab-974f-6c9eb8eae41d_6319590920109232096.gif,906.83 KB,06-04-25,1918,951,,,/Volumes/DeVonDaTa/Archived_Projects/Completed_Websites/sited/localai.io/e3f89d15-1d2c-45ab-974f-6c9eb8eae41d_6319590920109232096.gif
d50af51c-51b7-4f39-b6c2-bf04c403894c_4889266824855398753.png,124.00 KB,06-04-25,256,256,,,/Volumes/DeVonDaTa/Archived_Projects/Completed_Websites/sited/localai.io/d50af51c-51b7-4f39-b6c2-bf04c403894c_4889266824855398753.png
favicon-32x32.png,1.71 KB,06-04-25,32,32,,,/Volumes/DeVonDaTa/Archived_Projects/Completed_Websites/sited/localai.io/favicon-32x32.png
